Field=#~Integer~#~50|Field=Fitted~String~Fitted~200|Field=Designator~String~Designator~204|Field=Quantity~Integer~Quantity~124|Field=Comment~String~Comment~134|Field=Footprint~String~Footprint~200|Field=Description~String~Description~212|Field=LibRef~String~LibRef~122|Field=Manufacturer~String~Manufacturer~226|Field=Manufacturer Part Number~String~Manufacturer Part Number~292|Field=Supplier 1~String~Supplier 1~200|Field=Supplier Part Number 1~String~Supplier Part Number 1~200|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~200|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~200|ReportField=Currency~USD|ReportField=ProductionQuantity~100|ReportField=ProjectFileName~EVB_r2-0.PrjPCB|ReportField=ProjectFullPath~C:\_IS\hdw\IS-hdw\altium\Projects\INS_AHRS\EVB_r2-0\EVB_r2-0.PrjPCB|ReportField=Title~BOM Purchase For Variant [IS-EVB-r2.0.0-G2-R] of Project [EVB_r2-0.PrjPCB] (PCB Document : EVB-2.PCBDOC)|ReportField=ReportTime~2:41:15 PM|ReportField=ReportDate~2/7/2019|ReportField=ReportDateTime~2/7/2019 2:41:15 PM|ReportField=OutputName~BOM Purchase|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~IS-EVB-r2.0.0-G2-R|ReportField=TotalQuantity~168|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~ebf4d22a39377da5df1895ddc3c8144777053c8f|ReportField=AddressLine1~72 North 720 East|ReportField=AddressLine2~Salem, UT 84653|ReportField=AddressLine3~801-380-0819|ReportField=AddressLine4~info@interialsense.com|ReportField=Company~Inertial Sense LLC|ReportField=PcbPartNumber~IS-EVB-r2.0|ReportField=PcbRevision~2.0|ReportField=ProjectTitle~Evaluation Board|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~2/7/2019|ReportField=CurrentTime~2:38:17 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\_IS\hdw\IS-hdw\altium\Projects\INS_AHRS\EVB_r2-0\Source Files\Main.SchDoc|ReportField=DocumentName~Main.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~2/7/2019|ReportField=Organization~|ReportField=ProjectName~EVB_r2-0.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~11|ReportField=Time~|ReportField=Title~Main|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~EVB_r2-0.PrjPCB|ReportField=DataSourceFullPath~C:\_IS\hdw\IS-hdw\altium\Projects\INS_AHRS\EVB_r2-0\EVB_r2-0.PrjPCB|ReportField=PCBDataSourceFileName~EVB-2.PCBDOC|ReportField=PCBDataSourceFullPath~C:\_IS\hdw\IS-hdw\altium\Projects\INS_AHRS\EVB_r2-0\Source Files\EVB-2.PCBDOC|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|Fitted|BAT1|1|Battery|ML614S|BATTERY LITH 3V RECHARGE SMD|Battery|Panasonic - BSG|ML-614S/FN|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%2520BSG%26mpn%3DML-614S%252FFN%26seller%3DDigi-Key%26sku%3DP297-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}P297-ND{URL.TIP}Supplier|144.39|1.44
2|Fitted|C1, C12, C20, C29, C52, C54, C55, C56|8|Cap|0805|CAP CER 10UF 35V X5R 0805|Cap|TDK|C2012X5R1V106K085AC|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC2012X5R1V106K085AC%26seller%3DDigi-Key%26sku%3D445-14417-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}445-14417-6-ND{URL.TIP}Supplier|230|0.29
3|Fitted|C2_I, C2_M, C5, C9, C13, C14, C16, C22, C23, C24, C25, C26, C27, C28, C30, C32, C41, C51|18|Cap|0402|CAP CER .10UF 50V X7R 10% 0402|Cap|TDK Corporation|C1005X7R1H104K|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC1005X7R1H104K050BB%26seller%3DDigi-Key%26sku%3D445-5932-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}445-5932-1-ND{URL.TIP}Supplier|46.42|0.03
4|Fitted|C4|1|Cap|0402|CAP CER 10PF 50V C0G 0402|Cap|TDK|C1005C0G1H100D050BA|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC1005C0G1H100D050BA%26seller%3DDigi-Key%26sku%3D445-1235-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}445-1235-6-ND{URL.TIP}Supplier|3.8|0.04
5|Fitted|C6, C7|2|Cap|0402|CAP CER 15PF 16V C0G/NP0 0402|Cap|KEMET|C0402C150J4GACTU|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0402C150J4GAC7867%26seller%3DDigi-Key%26sku%3D399-8947-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}399-8947-6-ND{URL.TIP}Supplier|2.54|0.01
6|Fitted|C8, C11, C19, C36, C37, C38, C39, C40, C42, C43, C44, C45, C46, C47, C48, C49, C50|17|Cap|0201|CAP CER 0.1UF 25V X5R 0201|Cap|Murata|GRM033R6YA104KE14D|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGRM033R6YA104KE14D%26seller%3DDigi-Key%26sku%3D490-10430-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}490-10430-1-ND{URL.TIP}Supplier|22.58|0.01
7|Fitted|C10, C18, C33|3|Cap|1206|CAP CER 22UF 10V X5R 1206|Cap|Samsung|CL31A226KPHNNNE|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSamsung%26mpn%3DCL31A226KPHNNNE%26seller%3DDigi-Key%26sku%3D1276-1287-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1276-1287-6-ND{URL.TIP}Supplier|53.31|0.18
8|Fitted|C15, C21|2|Cap|0402|CAP CER 0.033UF 25V X7R 0402|Cap|Samsung|CL05B333KA5NNNC|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSamsung%26mpn%3DCL05B333KA5NNNC%26seller%3DDigi-Key%26sku%3D1276-1554-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1276-1554-6-ND{URL.TIP}Supplier|3.92|0.02
9|Fitted|C17, C31|2|Cap|0603|CAP CER 1UF 25V X7R 0603|Cap|Samsung|CL10B105KA8NNNC|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSamsung%26mpn%3DCL10B105KA8NNNC%26seller%3DDigi-Key%26sku%3D1276-1184-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1276-1184-6-ND{URL.TIP}Supplier|5.32|0.03
10|Fitted|C34|1|Cap|0402|CAP CER 0.047UF 16V Y5V 0402|Cap|Yageo|CC0402ZRY5V7BB473|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DCC0402ZRY5V7BB473%26seller%3DDigi-Key%26sku%3D311-1046-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}311-1046-6-ND{URL.TIP}Supplier|1.33|0.01
